,Locality,Price_per_sft,Area,Property_Type,BHK number,
8326,Nallagandla Gachibowli,5749,1270,  Apartment,2,
8327,Nallagandla Gachibowli,5749,1511,  Apartment,2,
8328,Nallagandla Gachibowli,5749,1270,  Apartment,3,
8329,Nallagandla Gachibowli,5749,1665,  Apartment,3,
8330,Shaikpet,7290,1865,  Apartment,3,
8331,Shaikpet,6990,2065,  Apartment,3,
8332,Shaikpet,7990,2260,  Apartment,3,
8333,Shaikpet,7990,2285,  Apartment,3,
8334,Shaikpet,7990,2300,  Apartment,3,
8335,Shaikpet,7290,1200,  Apartment,2,
8336,Shaikpet,6990,2205,  Apartment,3,
8337,Shaikpet,6990,2835,  Apartment,4,
8338,Shaikpet,6990,1870,  Apartment,3,
8339,Shaikpet,7290,2070,  Apartment,3,
8340,Shaikpet,6990,2225,  Apartment,3,
8341,Shaikpet,7990,2275,  Apartment,3,
8342,Shaikpet,6990,2540,  Apartment,3,
8343,Shaikpet,6990,2555,  Apartment,3,
8344,Shaikpet,6990,2625,  Apartment,3,
8345,Shaikpet,7290,1495,  Apartment,2,
8346,Manikonda,4200,1280,  Apartment,2,
8347,Manikonda,4200,1278,  Apartment,2,
8348,Manikonda,4200,1230,  Apartment,2,
8349,Manikonda,4200,1503,  Apartment,3,
8350,Manikonda,4200,1585,  Apartment,3,
8351,Manikonda,4200,1189,  Apartment,2,
8352,Manikonda,4200,1209,  Apartment,2,
8353,Manikonda,4200,1279,  Apartment,2,
8354,Manikonda,4200,1311,  Apartment,2,
8355,Manikonda,4200,1405,  Apartment,3,
8356,Manikonda,4200,1495,  Apartment,3,
8357,Kukatpally,6599,1931,  Apartment,3,
8358,Manikonda,4200,1953,  Apartment,3,
8359,Manikonda,4200,1627,  Apartment,3,
8360,Manikonda,4200,1778,  Apartment,3,
8361,Manikonda,4200,1970,  Apartment,3,
8362,Manikonda,4200,1900,  Apartment,3,
8363,Manikonda,4200,1971,  Apartment,3,
8364,Manikonda,4200,1846,  Apartment,3,
8365,Manikonda,4200,1804,  Apartment,3,
8366,Manikonda,4200,1550,  Apartment,3,
8367,Manikonda,4200,1559,  Apartment,3,
8368,Manikonda,4200,1629,  Apartment,3,
8369,Manikonda,4200,1752,  Apartment,3,
8370,Manikonda,4200,1808,  Apartment,3,
8371,Manikonda,4200,1986,  Apartment,3,
8372,Manikonda,4200,1605,  Apartment,3,
8373,Manikonda,4200,1715,  Apartment,3,
8374,Manikonda,4200,1826,  Apartment,3,
8375,Manikonda,4200,1995,  Apartment,3,
8376,Manikonda,4200,1996,  Apartment,3,
8377,Kondapur,6893,1460,  Apartment,2,
8378,Moosapet,5000,1295,  Apartment,2,
8379,Kondapur,7055,1715,  Apartment,3,
8380,Nizampet,5000,1140,  Apartment,2,
8381,Nizampet,4941,850,  Apartment,2,
8382,Manchirevula,6260,1315,  Apartment,2,
8383,Kollur,5980,1265,  Apartment,2,
8384,Moosapet,5000,1895,  Apartment,3,
8385,Moosapet,5000,1785,  Apartment,3,
8386,Kukatpally,6000,1715,  Apartment,3,
8387,Moosapet,5000,1250,  Apartment,2,
8388,Moosapet,5000,1645,  Apartment,3,
8389,Moosapet,5000,1295,  Apartment,2,
8390,Moosapet,5000,2125,  Apartment,3,
8391,Moosapet,5000,1575,  Apartment,3,
8392,Moosapet,4867,1505,  Apartment,3,
8393,Moosapet,5000,2245,  Apartment,3,
8394,Serilingampally,5383,1839,  Apartment,3,
8395,Moosapet,5053,1405,  Apartment,3,
8396,Kukatpally,5124,1405,  Apartment,3,
8397,Gajularamaram,4911,1405,  Apartment,3,
8398,Kukatpally,4717,1505,  Apartment,3,
8399,Kukatpally,4983,1505,  Apartment,3,
8400,Hitech City,4916,1505,  Apartment,3,
8401,Kothaguda,5124,1405,  Apartment,3,
8402,Ameerpet,4717,1505,  Apartment,3,
8403,Kondapur,5777,1350,  Apartment,3,
8404,Chandanagar,5384,1300,  Apartment,3,
8405,LB Nagar,6071,1400,  Apartment,3,
8406,Nizampet,6538,1300,  Apartment,3,
8407,Patancheru,4962,1350,  Apartment,3,
8408,muthangi,4946,930,  Apartment,2,
8409,Moosapet,4687,1600,  Apartment,3,
8410,Hitech City,4629,1296,  Apartment,2,
8411,muthangi,5000,1100,  Apartment,2,
8412,Patancheru,4946,930,  Apartment,2,
8413,Kukatpally,4687,1600,  Apartment,3,
8414,Gachibowli,4687,1600,  Apartment,3,
8415,Gachibowli,4629,1296,  Apartment,2,
8416,Madhapur,4687,1600,  Apartment,3,
8417,Hitech City,4687,1600,  Apartment,3,
8418,Moosapet,4629,1296,  Apartment,2,
8419,Isnapur,4962,1350,  Apartment,3,
8420,Isnapur,4946,930,  Apartment,2,
8421,Kukatpally,5787,1296,  Apartment,3,
8422,Kukatpally,6521,1150,  Apartment,2,
8423,Kukatpally,5714,1260,  Apartment,2,
8424,Kukatpally,5714,1260,  Apartment,2,
8425,Jeedimetla,5714,1260,  Apartment,2,
8426,Erragadda,5714,1260,  Apartment,2,
8427,Balanagar,5714,1260,  Apartment,2,
8428,LB Nagar,6961,1600,  Apartment,3,
8429,Miyapur,5400,1480,  Apartment,3,
8430,Miyapur,5274,1295,  Apartment,2,
8431,Nizampet,6600,1630,  Apartment,3,
8432,Nizampet,6600,1610,  Apartment,3,
8433,Nizampet,6600,1365,  Apartment,2,
8434,Nizampet,6600,1360,  Apartment,2,
8435,Hitech City,7100,1710,  Apartment,3,
8436,Moosapet,5000,2505,  Apartment,3,
8437,Hastinapuram,5779,1315,  Apartment,2,
8438,Hastinapuram,5830,1715,  Apartment,3,
8439,Hitech City,7100,1820,  Apartment,3,
8440,Hitech City,7100,1710,  Apartment,3,
8441,Miyapur,5400,1100,  Apartment,2,
8442,Suchitra,5199,1142,  Apartment,2,
8443,Suchitra,5199,1126,  Apartment,2,
8444,Balanagar,5199,1126,  Apartment,2,
8445,Suraram,5199,957,  Apartment,2,
8446,Suraram,5199,1142,  Apartment,2,
8447,Suraram,5199,1142,  Apartment,2,
8448,Balanagar,5199,1142,  Apartment,2,
8449,Balanagar,5198,1126,  Apartment,2,
8450,Manikonda,6181,1707,  Apartment,3,
8451,Suchitra,5199,1126,  Apartment,2,
8452,Balanagar,5199,1142,  Apartment,2,
8453,Manikonda,7000,1370,  Apartment,2,
8454,Suchitra,5199,1142,  Apartment,2,
8455,Jeedimetla,5199,1289,  Apartment,3,
8456,Suchitra,5000,1385,  Apartment,2,
8457,Sainikpuri,7105,2111,  Villa,3,
8458,Suraram,5199,1070,  Apartment,2,
8459,Bahadurpally,5199,1289,  Apartment,3,
8460,Pragathi Nagar Kukatpally,4952,1050,  Apartment,2,
8461,Kondapur,4761,1050,  Apartment,2,
8462,Bachupally,4409,1270,  Apartment,2,
8463,LB Nagar,5000,2465,  Apartment,3,
8464,LB Nagar,5000,1870,  Apartment,3,
8465,LB Nagar,5000,1320,  Apartment,2,
8466,Moosapet,4225,2505,  Apartment,3,
8467,Moosapet,4800,2245,  Apartment,3,
8468,Moosapet,4800,1995,  Apartment,3,
8469,Moosapet,4800,1895,  Apartment,3,
8470,Moosapet,4800,1895,  Apartment,3,
8471,Moosapet,4800,1575,  Apartment,3,
8472,LB Nagar,5000,2075,  Apartment,3,
8473,LB Nagar,5000,4000,  Apartment,4,
8474,LB Nagar,5000,1870,  Apartment,3,
8475,Miyapur,4442,1148,  Apartment,2,
8476,Miyapur,4492,1558,  Apartment,3,
8477,Narsingi,6480,1250,  Apartment,2,
8478,Miyapur,4501,1333,  Apartment,2,
8479,Mallampet,4800,1250,  Apartment,2,
8480,Miyapur,5147,1865,  Apartment,3,
8481,Moosapet,4500,1295,  Apartment,2,
8482,Patancheru,5200,1060,  Apartment,2,
8483,Moosapet,4800,1535,  Apartment,3,
8484,Ankushapur,7134,1401,  Villa,3,
8485,Shankarpalli,7100,1710,  Apartment,3,
8486,Moosapet,4502,1890,  Apartment,3,
8487,Kukatpally,4684,1900,  Apartment,3,
8488,Moosapet,4666,1800,  Apartment,3,
8489,Pragathi Nagar Kukatpally,5128,1170,  Apartment,2,
8490,Kukatpally,4900,2875,  Apartment,3,
8491,Narsingi,6500,2150,  Apartment,3,
8492,Miyapur,5480,1140,  Apartment,2,
8493,Miyapur,5664,865,  Apartment,2,
8494,Kistareddypet,5163,1530,  Independent House,3,
8495,Kistareddypet,5238,2100,  Independent House,4,
8496,Narsingi,7515,1920,  Apartment,3,
8497,Miyapur,5473,950,  Apartment,2,
8498,Kukatpally,6372,1020,  Apartment,2,
8499,Hyder Nagar,5000,850,  Apartment,2,
8500,Pragathi Nagar Kukatpally,5000,850,  Apartment,2,
8501,Nizampet,5000,1400,  Apartment,2,
8502,Nizampet,5000,850,  Apartment,2,
8503,Narsingi,6800,1200,  Apartment,2,
8504,Alwal,5285,1400,  Apartment,2,
8505,Alwal,5166,2400,  Apartment,3,
8506,Shamirpet,5238,2100,  Independent House,3,
8507,Shamirpet,5000,2500,  Villa,4,
8508,Dilsukh Nagar,6500,1000,  Apartment,2,
8509,Kukatpally,6944,1800,  Apartment,3,
8510,Hitech City,7000,1700,  Apartment,3,
8511,Kokapet,7066,1500,  Apartment,3,
8512,Tellapur,5000,1800,  Apartment,3,
8513,Shamirpet,4478,2233,  Villa,3,
8514,Hafeezpet,7000,1700,  Apartment,3,
8515,Kondapur,7225,1550,  Apartment,3,
8516,Jeedimetla,4658,1170,  Apartment,2,
8517,Jeedimetla,4107,1120,  Apartment,2,
8518,Bala Nagar,4555,1295,  Apartment,2,
8519,Bala Nagar,4555,1295,  Apartment,2,
8520,Kukatpally,6000,1000,  Apartment,2,
8521,Saroor Nagar,4800,1750,  Apartment,3,
8522,Moti Nagar,9516,1366,  Apartment,2,
8523,Moti Nagar,9730,1336,  Apartment,2,
8524,Moti Nagar,9516,1366,  Apartment,2,
8525,Moti Nagar,9516,1366,  Apartment,2,
8526,Moti Nagar,9516,1366,  Apartment,2,
8527,Chandanagar,9777,1350,  Independent House,2,
8528,Chandanagar,10962,1350,  Independent House,4,
8529,Chandanagar,7083,2400,  Independent House,4,
8530,Pragathi Nagar Kukatpally,5040,1250,  Apartment,2,
8531,Suchitra,5871,2180,  Apartment,3,
8532,Miyapur,5701,1140,  Apartment,2,
8533,Moosapet,5300,2385,  Apartment,3,
8534,Moosapet,5300,1295,  Apartment,2,
8535,Nagole,5416,2400,  Independent House,4,
8536,Appa Junction,6500,1250,  Apartment,2,
8537,Appa Junction,6500,2020,  Apartment,4,
8538,Appa Junction,6500,1250,  Apartment,2,
8539,Appa Junction,6500,1250,  Apartment,2,
8540,Shaikpet,6500,1250,  Apartment,2,
8541,Appa Junction,6500,1250,  Apartment,2,
8542,Patancheru,6799,3372,  Villa,3,
8543,Sultanpur,6799,3372,  Villa,3,
8544,Patancheru,6799,3057,  Villa,3,
8545,Sultanpur,6799,2008,  Villa,3,
8546,Rameshwaram Banda,6799,3372,  Villa,3,
8547,Rameshwaram Banda,6799,2235,  Villa,3,
8548,Patancheru,6799,2235,  Villa,3,
8549,muthangi,6799,2235,  Villa,3,
8550,muthangi,6799,2008,  Villa,3,
8551,Appa Junction,6500,1250,  Apartment,2,
8552,Appa Junction,6500,2020,  Apartment,4,
8553,Appa Junction,6500,1250,  Apartment,2,
8554,Appa Junction,6500,1250,  Apartment,2,
8555,Appa Junction,6500,1700,  Apartment,3,
8556,Patancheru,6799,2008,  Villa,3,
8557,Sultanpur,6799,3057,  Villa,3,
8558,Sultanpur,6799,2235,  Villa,3,
8559,muthangi,6799,3372,  Villa,3,
8560,Shaikpet,6500,1250,  Apartment,2,
8561,Shaikpet,6500,1250,  Apartment,2,
8562,Appa Junction,6500,1250,  Apartment,2,
8563,Narsingi,6098,1324,  Apartment,2,
8564,Narsingi,6104,1204,  Apartment,2,
8565,Narsingi,6104,1204,  Apartment,2,
8566,Miyapur,5238,1050,  Apartment,2,
8567,Serilingampally,7500,1600,  Apartment,3,
8568,Sadashivpet,6562,3200,  Villa,3,
8569,Aminpur,5438,1140,  Apartment,2,
8570,Miyapur,5000,1200,  Apartment,2,
8571,Kokapet,6500,2000,  Apartment,3,
8572,Kokapet,5000,1500,  Apartment,2,
8573,Raviryal,5416,2400,  Villa,3,
8574,Kondapur,6000,1289,  Apartment,2,
8575,Nizampet,4458,1839,  Apartment,3,
8576,Miyapur,5500,1200,  Apartment,2,
8577,Serilingampally,4969,1811,  Apartment,3,
8578,Miyapur,5500,1600,  Apartment,3,
8579,Pragathi Nagar Kukatpally,6200,1155,  Apartment,2,
8580,Miyapur,5400,865,  Apartment,2,
8581,Miyapur,5400,865,  Apartment,2,
8582,Puppalaguda,6969,1650,  Apartment,3,
8583,Aminpur,5000,1000,  Apartment,2,
8584,Miyapur,5416,1200,  Apartment,2,
8585,Aminpur,5500,1200,  Apartment,2,
8586,Kukatpally,6570,1385,  Apartment,2,
8587,Miyapur,6172,1620,  Apartment,3,
8588,Erragadda,6470,850,  Apartment,2,
8589,Kondapur,5979,1465,  Apartment,3,
8590,Manchirevula,7385,1528,  Apartment,3,
8591,Bhanur,2500,1050,  Apartment,2,
8592,Puppalaguda,7589,1950,  Apartment,3,
8593,Nizampet,6164,1380,  Apartment,2,
8594,Miyapur,5666,1200,  Apartment,2,
8595,Moosapet,5081,1535,  Apartment,3,
8596,Miyapur,5614,1140,  Apartment,2,
8597,Moosapet,4369,1785,  Apartment,3,
8598,Moosapet,5328,1295,  Apartment,2,
8599,Moosapet,4620,1450,  Apartment,3,
8600,Miyapur,5367,1658,  Apartment,3,
8601,Hafeezpet,5565,1617,  Apartment,3,
8602,Bachupally,5318,1617,  Apartment,3,
8603,Miyapur,5640,1507,  Apartment,3,
8604,Hafeezpet,5706,1507,  Apartment,3,
8605,Hafeezpet,5706,1507,  Apartment,3,
8606,Hafeezpet,5706,1507,  Apartment,3,
8607,Kondapur,5773,1507,  Apartment,3,
8608,Kondapur,5773,1507,  Apartment,3,
8609,Banjara Hills,4863,1645,  Apartment,3,
8610,Kukatpally,3992,2505,  Apartment,3,
8611,Mallapur,3912,2505,  Apartment,3,
8612,Bachupally,6785,1400,  Apartment,3,
8613,Kukatpally,4969,1811,  Apartment,3,
8614,Kukatpally,4955,1453,  Apartment,2,
8615,Hitech City,6009,1200,  Apartment,2,
8616,Miyapur,5182,1640,  Apartment,3,
8617,Manikonda,5693,1370,  Apartment,3,
8618,Miyapur,5700,1333,  Apartment,3,
8619,Aminpur,5393,1650,  Apartment,3,
8620,Kokapet,6500,2000,  Apartment,3,
8621,Kokapet,6500,2000,  Apartment,3,
8622,Kokapet,6500,2000,  Apartment,3,
8623,Kokapet,5000,1500,  Apartment,2,
8624,Kokapet,5000,1500,  Apartment,2,
8625,Kokapet,6500,2000,  Apartment,3,
8626,Kokapet,6500,2000,  Apartment,3,
8627,Serilingampally,5945,1295,  Apartment,2,
8628,Suraram,3491,1289,  Apartment,2,
8629,Puppalaguda,7589,1950,  Apartment,3,
8630,Gachibowli,3500,1840,  Apartment,3,
8631,Aminpur,5393,1650,  Apartment,3,
8632,Chandanagar,5830,1715,  Apartment,3,
8633,Nizampet,5103,1940,  Apartment,3,
8634,Mallampet,4702,1914,  Apartment,4,
8635,Kondapur,5429,1455,  Apartment,3,
8636,Puppalaguda,6622,1057,  Apartment,2,
8637,Bachupally,4410,1859,  Apartment,3,
8638,Isnapur,4528,1060,  Apartment,2,
8639,Manikonda,4682,1495,  Apartment,3,
8640,Manikonda,4682,1495,  Apartment,3,
8641,Gachibowli,4529,1296,  Apartment,2,
8642,Narsingi,6666,2100,  Apartment,3,
8643,Miyapur,5666,1200,  Apartment,2,
8644,Moosapet,5081,1535,  Apartment,3,
8645,Miyapur,5614,1140,  Apartment,2,
8646,Moosapet,4369,1785,  Apartment,3,
8647,Moosapet,5328,1295,  Apartment,2,
8648,Nizampet,6164,1380,  Apartment,2,
8649,Moosapet,4620,1450,  Apartment,3,
8650,LB Nagar,5000,1300,  Apartment,2,
8651,Suraram,3491,1289,  Apartment,2,
8652,Nizampet,5680,1250,  Apartment,2,
8653,Nizampet,5718,1224,  Apartment,2,
8654,Moosapet,5259,1635,  Apartment,3,
8655,Moosapet,5266,1405,  Apartment,3,
8656,Moosapet,5250,1295,  Apartment,2,
8657,Kondapur,5684,1847,  Apartment,3,
8658,Moosapet,4612,2385,  Apartment,4,
8659,Nizampet,6500,1610,  Apartment,3,
8660,Kukatpally,5626,1333,  Apartment,2,
8661,Nizampet,4129,1453,  Apartment,2,
8662,Hitech City,4500,1465,  Apartment,2,
8663,Miyapur,5867,1193,  Apartment,2,
8664,Hafeezpet,5867,1193,  Apartment,2,
8665,Hitech City,4500,2895,  Apartment,4,
8666,Gachibowli,2500,2070,  Apartment,3,
8667,Gachibowli,7092,2115,  Apartment,3,
8668,Kondapur,6000,1289,  Apartment,2,
8669,Aminpur,4971,1750,  Apartment,3,
8670,Kothaguda,4418,1333,  Apartment,3,
8671,Bachupally,6176,1700,  Apartment,3,
8672,Bachupally,6282,1353,  Apartment,3,
8673,Miyapur,4970,2032,  Apartment,3,
8674,Nanakramguda,6453,1751,  Apartment,3,
8675,Kollur,4166,1440,  Apartment,3,
8676,Bachupally,8333,1500,  Villa,3,
8677,Miyapur,5238,1050,  Apartment,2,
8678,Serilingampally,7500,1600,  Apartment,3,
8679,Sadashivpet,6562,3200,  Villa,3,
8680,Aminpur,5438,1140,  Apartment,2,
8681,Miyapur,5000,1200,  Apartment,2,
8682,Kokapet,6500,2000,  Apartment,3,
8683,Kokapet,5000,1500,  Apartment,2,
8684,Raviryal,5416,2400,  Villa,3,
8685,Kokapet,5000,1500,  Apartment,2,
8686,Kokapet,5000,1500,  Apartment,2,
8687,Kokapet,5000,1500,  Apartment,2,
8688,Kokapet,5000,1500,  Apartment,2,
8689,Kokapet,6500,2000,  Apartment,3,
8690,Kokapet,6500,2000,  Apartment,3,
8691,Kokapet,6500,2000,  Apartment,3,
8692,Kokapet,6500,2000,  Apartment,3,
8693,Kokapet,6500,2000,  Apartment,3,
8694,Kokapet,6500,2000,  Apartment,3,
8695,Kokapet,5000,1500,  Apartment,2,
8696,Kokapet,5000,1500,  Apartment,2,
8697,Kokapet,6500,2000,  Apartment,3,
8698,Kokapet,6500,2000,  Apartment,3,
8699,Serilingampally,5945,1295,  Apartment,2,
8700,Kondapur,6938,1225,  Apartment,2,
8701,Hafeezpet,5263,1140,  Apartment,2,
8702,Kukatpally,5263,1140,  Apartment,2,
8703,BHEL,6857,1750,  Apartment,3,
8704,Miyapur,5263,1140,  Apartment,2,
8705,Tellapur,6857,1750,  Apartment,3,
8706,Kondapur,6407,1545,  Apartment,2,
8707,Tellapur,5972,1507,  Apartment,3,
8708,Dundigal,3767,2495,  Villa,3,
8709,Puppalaguda,7142,2100,  Apartment,3,
8710,Miyapur,6699,1215,  Apartment,2,
8711,Pragathi Nagar Kukatpally,5303,660,  Apartment,1,
8712,Saroornagar,7279,1310,  Apartment,2,
8713,Miyapur,6699,1215,  Apartment,2,
8714,Pragathi Nagar Kukatpally,5151,660,  Apartment,1,
8715,Serilingampally,5945,1295,  Apartment,2,
8716,Hafeezpet,5947,1345,  Apartment,3,
8717,Kukatpally,5772,1715,  Apartment,3,
8718,Kukatpally,5772,1715,  Apartment,3,
8719,Miyapur,5200,1200,  Apartment,2,
8720,Serilingampally,6689,1480,  Apartment,3,
8721,Miyapur,4824,1140,  Apartment,2,
8722,Kondapur,5459,1795,  Apartment,3,
8723,Kondapur,6285,1575,  Apartment,3,
8724,Serilingampally,5968,1223,  Apartment,2,
8725,Serilingampally,6689,1480,  Apartment,3,
8726,Kondapur,5459,1795,  Apartment,3,
8727,Hafeezpet,8681,1555,  Apartment,3,
8728,Kondapur,7291,1920,  Apartment,3,
8729,Kondapur,9646,1555,  Apartment,3,
8730,Kondapur,8681,1555,  Apartment,3,
8731,Kondapur,8681,1555,  Apartment,3,
8732,Kondapur,6530,1225,  Apartment,2,
8733,Kondapur,8108,1480,  Apartment,3,
8734,Kondapur,8108,1480,  Apartment,3,
8735,Puppalaguda,5349,1215,  Apartment,2,
8736,Puppalaguda,5474,1370,  Apartment,3,
8737,Manikonda,6863,1457,  Apartment,3,
8738,Kondapur,8108,1480,  Apartment,3,
8739,Kondapur,6756,1480,  Apartment,3,
8740,Kondapur,6938,1225,  Apartment,2,
8741,Hafeezpet,5263,1140,  Apartment,2,
8742,Kukatpally,5263,1140,  Apartment,2,
8743,BHEL,6857,1750,  Apartment,3,
8744,Miyapur,5263,1140,  Apartment,2,
8745,Tellapur,6857,1750,  Apartment,3,
8746,Kondapur,6407,1545,  Apartment,2,
8747,Tellapur,5972,1507,  Apartment,3,
8748,Dundigal,3767,2495,  Villa,3,
8749,Puppalaguda,7142,2100,  Apartment,3,
8750,Miyapur,6699,1215,  Apartment,2,
8751,Pragathi Nagar Kukatpally,5303,660,  Apartment,1,
8752,Saroornagar,7279,1310,  Apartment,2,
8753,Miyapur,6699,1215,  Apartment,2,
8754,Pragathi Nagar Kukatpally,5151,660,  Apartment,1,
8755,Serilingampally,5945,1295,  Apartment,2,
8756,Jagadgiri Gutta,4391,2505,  Apartment,3,
8757,Ameerpet,4391,2505,  Apartment,3,
8758,Erragadda,51896,2505,  Apartment,3,
8759,Jagadgiri Gutta,5045,1645,  Apartment,3,
8760,Gandi Maisamma,5300,1900,  Apartment,3,
8761,Gandi Maisamma,5300,1750,  Apartment,3,
8762,Gandi Maisamma,5300,1200,  Apartment,2,
8763,Gandi Maisamma,5300,1100,  Apartment,2,
8764,Miyapur,6301,1333,  Apartment,3,
8765,Kondapur,5648,1310,  Apartment,2,
8766,Kukatpally,5714,2100,  Apartment,3,
8767,Puppalaguda,7179,1950,  Apartment,3,
8768,Bhanur,2500,1050,  Apartment,2,
8769,Bhanur,2500,1550,  Apartment,3,
8770,Hyder Nagar,6900,1365,  Apartment,2,
8771,Nizampet,6900,1380,  Apartment,2,
8772,Kukatpally,6900,1360,  Apartment,2,
8773,Pragathi Nagar Kukatpally,5000,1200,  Apartment,2,
8774,Hitech City,6900,1660,  Apartment,3,
8775,Nizampet,6900,1650,  Apartment,3,
8776,Hitech City,6900,1395,  Apartment,2,
8777,Bhanur,2500,1050,  Apartment,2,
8778,Bhanur,2500,1050,  Apartment,2,
8779,Bhanur,2500,1050,  Apartment,2,
8780,Bhanur,2500,1050,  Apartment,2,
8781,Bhanur,2500,1550,  Apartment,3,
8782,Bhanur,2500,1550,  Apartment,3,
8783,Bhanur,2500,1550,  Apartment,3,
8784,Bhanur,2500,1550,  Apartment,3,
8785,Bhanur,2500,1550,  Apartment,3,
8786,Bhanur,2500,1550,  Apartment,3,
8787,Bhanur,2500,1050,  Apartment,2,
8788,Bachupally,6000,1715,  Apartment,3,
8789,Gachibowli,6349,1575,  Apartment,3,
8790,Bachupally,4874,1395,  Apartment,3,
8791,Gachibowli,6349,1575,  Apartment,3,
8792,Gachibowli,6699,1215,  Apartment,2,
8793,Hyder Nagar,6700,1455,  Apartment,3,
8794,Miyapur,5699,865,  Apartment,2,
8795,Hafeezpet,6700,2025,  Apartment,3,
8796,Kukatpally,6700,1545,  Apartment,3,
8797,Pragathi Nagar Kukatpally,5664,1610,  Apartment,3,
8798,Miyapur,5699,1415,  Apartment,3,
8799,Hyder Nagar,5679,1215,  Apartment,2,
8800,Kokapet,6500,2000,  Apartment,3,
8801,Kokapet,6500,2000,  Apartment,3,
8802,Kokapet,5000,1500,  Apartment,2,
8803,Kokapet,5000,1500,  Apartment,2,
8804,Kokapet,6500,2000,  Apartment,3,
8805,Kokapet,6500,2000,  Apartment,3,
8806,Serilingampally,5945,1295,  Apartment,2,
8807,Nandigama,6000,0,  Villa,2,
8808,Puppalaguda,7042,2215,  Apartment,3,
8809,Puppalaguda,7142,2100,  Apartment,3,
8810,Kukatpally,5434,1840,  Apartment,3,
8811,Kukatpally,5714,2100,  Apartment,3,
8812,Puppalaguda,7179,1950,  Apartment,3,
8813,Moinabad,3395,6480,  Villa,5,
8814,Hitech City,7076,1710,  Apartment,3,
8815,LB Nagar,4984,1595,  Apartment,3,
8816,LB Nagar,4984,1595,  Apartment,3,
8817,Kondapur,5662,1095,  Apartment,2,
8818,Puppalaguda,6772,2215,  Apartment,3,
8819,Bachupally,4534,1235,  Apartment,2,
8820,Gachibowli,4821,1120,  Apartment,2,
8821,Pragathi Nagar Kukatpally,4963,1370,  Apartment,3,
8822,Bachupally,5005,1370,  Apartment,3,
8823,Narsingi,5120,1660,  Apartment,3,
8824,Kukatpally,6500,1230,  Apartment,2,
8825,Puppalaguda,7589,1950,  Apartment,3,
8826,Puppalaguda,6320,2215,  Apartment,3,
8827,Kukatpally,5434,1840,  Apartment,3,
8828,Nizampet,5680,1250,  Apartment,2,
8829,Nizampet,5718,1224,  Apartment,2,
8830,Moosapet,5259,1635,  Apartment,3,
8831,Moosapet,5266,1405,  Apartment,3,
8832,Moosapet,5250,1295,  Apartment,2,
8833,Kondapur,5684,1847,  Apartment,3,
8834,Moosapet,4612,2385,  Apartment,4,
8835,Nizampet,6500,1610,  Apartment,3,
8836,LB Nagar,4973,1870,  Apartment,3,
8837,Miyapur,5549,865,  Apartment,2,
8838,Jagadgiri Gutta,4391,2505,  Apartment,3,
8839,Ameerpet,4391,2505,  Apartment,3,
8840,Miyapur,5476,1333,  Apartment,3,
8841,Miyapur,5476,1333,  Apartment,3,
8842,Miyapur,5476,1333,  Apartment,3,
8843,Miyapur,5476,1333,  Apartment,3,
8844,Manikonda,5693,1370,  Apartment,3,
8845,Narsingi,5338,1405,  Independent House,3,
8846,Gopanapalli,6857,1750,  Apartment,3,
8847,Tellapur,5972,1507,  Apartment,3,
8848,Lingampally,4152,1710,  Apartment,3,
8849,Bachupally,5867,1193,  Apartment,2,
8850,Gandi Maisamma,4818,1100,  Apartment,2,
8851,Madhapur,5198,1465,  Apartment,3,
8852,Moosapet,5200,1465,  Apartment,3,
8853,Kondapur,6301,1333,  Apartment,3,
8854,Kondapur,6384,1535,  Apartment,3,
8855,Hitech City,6384,1535,  Apartment,3,
8856,Miyapur,6384,1535,  Apartment,3,
8857,Miyapur,6301,1333,  Apartment,3,
8858,Dilsukh Nagar,5000,1310,  Apartment,2,
8859,Saroor Nagar,4985,2075,  Apartment,4,
8860,Serilingampally,6689,1480,  Apartment,3,
8861,Miyapur,4824,1140,  Apartment,2,
8862,Kondapur,5459,1795,  Apartment,3,
8863,Kondapur,6285,1575,  Apartment,3,
8864,Serilingampally,5968,1223,  Apartment,2,
8865,Serilingampally,6689,1480,  Apartment,3,
8866,Kondapur,5459,1795,  Apartment,3,
8867,Hafeezpet,8681,1555,  Apartment,3,
8868,Kondapur,7291,1920,  Apartment,3,
8869,Kondapur,9646,1555,  Apartment,3,
8870,Kondapur,8681,1555,  Apartment,3,
8871,Kondapur,8681,1555,  Apartment,3,
8872,Kondapur,6530,1225,  Apartment,2,
8873,Kondapur,8108,1480,  Apartment,3,
8874,Kondapur,8108,1480,  Apartment,3,
8875,Puppalaguda,5349,1215,  Apartment,2,
8876,Puppalaguda,5474,1370,  Apartment,3,
8877,Manikonda,6863,1457,  Apartment,3,
8878,Kondapur,8108,1480,  Apartment,3,
8879,Kondapur,6756,1480,  Apartment,3,
8880,Miyapur,4948,2021,  Apartment,2,
8881,Gachibowli,5426,1290,  Apartment,2,
8882,Moosapet,4787,1295,  Apartment,2,
8883,Nizampet,5045,1645,  Apartment,3,
8884,Kukatpally,5640,1507,  Apartment,3,
8885,Banjara Hills,4863,1645,  Apartment,3,
8886,Kukatpally,5640,1507,  Apartment,3,
8887,Kukatpally,5706,1507,  Apartment,3,
8888,Miyapur,5367,1658,  Apartment,3,
8889,Hafeezpet,5565,1617,  Apartment,3,
8890,Bachupally,5318,1617,  Apartment,3,
