,Locality,Price_per_sft,Area,Property_Type,BHK number,
481,Jeedimetla,5800,2080,  Apartment,3,
482,Jeedimetla,5800,2495,  Apartment,3,
483,Jeedimetla,5800,1195,  Apartment,2,
484,Jeedimetla,5800,3030,  Apartment,4,
485,Jeedimetla,5800,1915,  Apartment,3,
486,Jeedimetla,5800,2590,  Apartment,3,
487,Jeedimetla,5800,3150,  Apartment,4,
488,Jeedimetla,5800,2200,  Apartment,3,
489,Jeedimetla,5800,1135,  Apartment,2,
490,Jeedimetla,5800,1865,  Apartment,3,
491,Serilingampally,9100,1636,  Apartment,3,
492,Serilingampally,9100,1502,  Apartment,3,
493,Serilingampally,9100,1646,  Apartment,3,
494,Serilingampally,9100,1950,  Apartment,3,
495,Serilingampally,9100,1686,  Apartment,3,
496,Serilingampally,9100,1887,  Apartment,3,
497,Serilingampally,9100,1893,  Apartment,3,
498,Serilingampally,9100,1497,  Apartment,3,
499,Serilingampally,9100,1891,  Apartment,3,
500,Serilingampally,9100,1498,  Apartment,3,
501,Serilingampally,9100,1585,  Apartment,3,
502,Serilingampally,9100,1857,  Apartment,3,
503,Serilingampally,9100,1864,  Apartment,3,
504,Serilingampally,9100,1663,  Apartment,3,
505,Tukkuguda,4500,1405,  Apartment,3,
506,Tukkuguda,4500,1575,  Apartment,3,
507,Tukkuguda,4500,1575,  Apartment,3,
508,Tukkuguda,4500,1510,  Apartment,3,
509,Tukkuguda,4500,1510,  Apartment,3,
510,Tukkuguda,4500,1240,  Apartment,2,
511,Tukkuguda,4500,1240,  Apartment,2,
512,Tukkuguda,4500,1415,  Apartment,2,
513,Tukkuguda,4500,1415,  Apartment,2,
514,Tukkuguda,4500,1680,  Apartment,3,
515,Tukkuguda,4500,1680,  Apartment,3,
516,Tukkuguda,4500,1390,  Apartment,2,
517,Tukkuguda,4500,1390,  Apartment,2,
518,Tukkuguda,4500,1425,  Apartment,3,
519,Tukkuguda,4500,1425,  Apartment,3,
520,Tukkuguda,4500,1270,  Apartment,2,
521,Tukkuguda,4500,1270,  Apartment,2,
522,Tukkuguda,4500,1300,  Apartment,2,
523,Tukkuguda,4500,1300,  Apartment,2,
524,Osman Nagar,17503,5255,  Villa,5,
525,Kokapet,9350,4777,  Apartment,4,
526,Kokapet,9350,5777,  Apartment,4,
527,Kokapet,8000,2235,  Apartment,3,
528,Kokapet,8000,1957,  Apartment,3,
529,Tellapur,8889,2700,  Villa,3,
530,Miyapur,6800,1670,  Apartment,3,
531,Miyapur,6800,1580,  Apartment,3,
532,Miyapur,6800,1955,  Apartment,3,
533,Miyapur,6800,1290,  Apartment,2,
534,Miyapur,6800,1490,  Apartment,3,
535,Miyapur,6800,1560,  Apartment,3,
536,Nallagandla Gachibowli,10243,3416,  Villa,3,
537,Nallagandla Gachibowli,7850,3446,  Villa,3,
538,Kondapur,8500,2005,  Apartment,3,
539,Kondapur,8500,1945,  Apartment,3,
540,Velmala,4600,1370,  Apartment,2,
541,Velmala,4600,2020,  Apartment,3,
542,Velmala,4600,2210,  Apartment,3,
543,Nallagandla Gachibowli,10243,3416,  Villa,3,
544,Nallagandla Gachibowli,7850,3446,  Villa,3,
545,Kokapet,7299,1880,  Apartment,3,
546,Nallagandla Gachibowli,7850,3446,  Villa,3,
547,Patighanpur,9800,3756,  Villa,4,
548,Malkajgiri,7300,2635,  Apartment,4,
549,Kompally,6002,2255,  Apartment,4,
550,Kokapet,7299,2480,  Apartment,3,
551,Miyapur,6800,1670,  Apartment,3,
552,Malkajgiri,7300,2215,  Apartment,3,
553,Malkajgiri,7300,1670,  Apartment,3,
554,Osman Nagar,17503,5255,  Villa,5,
555,Kokapet,9350,4777,  Apartment,4,
556,Kokapet,9350,5777,  Apartment,4,
557,Miyapur,6800,1670,  Apartment,3,
558,Miyapur,6800,1580,  Apartment,3,
559,Miyapur,6800,1955,  Apartment,3,
560,Miyapur,6800,1490,  Apartment,3,
561,Miyapur,6800,1560,  Apartment,3,
562,Bachupally,5499,1610,  Apartment,3,
563,Bachupally,5499,1715,  Apartment,3,
564,Bachupally,5499,1780,  Apartment,3,
565,Bachupally,5499,1750,  Apartment,3,
566,Bachupally,5499,1790,  Apartment,3,
567,Bachupally,5499,1265,  Apartment,2,
568,Bachupally,5499,1330,  Apartment,2,
569,Patighanpur,9800,6500,  Villa,4,
570,Patighanpur,9800,3756,  Villa,4,
